Part_ID,Date,Time,Level,Throw Number,Error,Success(Y/N),Time Stamp
373,07/20,7/20/2020 8:37:52 PM,Practice,1,0.8435143,No,7/20/2020 1:37:52 PM
373,07/20,7/20/2020 1:37:55 PM,Practice,2,0.8435143,Yes,7/20/2020 1:37:55 PM
373,07/20,7/20/2020 8:37:58 PM,Practice,3,0.7360197,No,7/20/2020 1:37:58 PM
373,07/20,7/20/2020 8:38:02 PM,Practice,4,0.6392762,No,7/20/2020 1:38:02 PM
373,07/20,7/20/2020 8:38:05 PM,Practice,5,1.23519,No,7/20/2020 1:38:05 PM
373,07/20,7/20/2020 8:38:08 PM,Practice,6,1.343347,No,7/20/2020 1:38:08 PM
373,07/20,7/20/2020 8:38:11 PM,Practice,7,0.8963967,No,7/20/2020 1:38:11 PM
373,07/20,7/20/2020 1:38:14 PM,Practice,8,0.8963967,Yes,7/20/2020 1:38:14 PM
373,07/20,7/20/2020 8:38:17 PM,Practice,9,1.022195,No,7/20/2020 1:38:17 PM
373,07/20,7/20/2020 8:38:20 PM,Practice,10,0.9114711,No,7/20/2020 1:38:20 PM
374,07/20,7/20/2020 8:38:49 PM,Practice,1,0.8783054,No,7/20/2020 1:38:49 PM
374,07/20,7/20/2020 8:38:51 PM,Practice,2,2.196884,No,7/20/2020 1:38:51 PM
374,07/20,7/20/2020 8:38:53 PM,Practice,3,2.222242,No,7/20/2020 1:38:53 PM
374,07/20,7/20/2020 8:38:55 PM,Practice,4,2.24921,No,7/20/2020 1:38:55 PM
374,07/20,7/20/2020 8:38:57 PM,Practice,5,2.229985,No,7/20/2020 1:38:57 PM
374,07/20,7/20/2020 8:38:59 PM,Practice,6,2.304274,No,7/20/2020 1:38:59 PM
374,07/20,7/20/2020 8:39:02 PM,Practice,7,2.304364,No,7/20/2020 1:39:02 PM
374,07/20,7/20/2020 8:39:04 PM,Practice,8,2.313106,No,7/20/2020 1:39:04 PM
374,07/20,7/20/2020 8:39:06 PM,Practice,9,2.314609,No,7/20/2020 1:39:06 PM
374,07/20,7/20/2020 8:39:08 PM,Practice,10,2.30905,No,7/20/2020 1:39:08 PM
374,07/20,7/20/2020 8:39:13 PM,1,1,0.365421,No,7/20/2020 1:39:13 PM
374,07/20,7/20/2020 8:39:15 PM,1,2,2.165878,No,7/20/2020 1:39:15 PM
374,07/20,7/20/2020 8:39:17 PM,1,3,2.149802,No,7/20/2020 1:39:17 PM
374,07/20,7/20/2020 8:39:20 PM,1,4,0.6946995,No,7/20/2020 1:39:20 PM
374,07/20,7/20/2020 8:39:22 PM,1,5,2.161729,No,7/20/2020 1:39:22 PM
374,07/20,7/20/2020 8:39:25 PM,1,6,2.140135,No,7/20/2020 1:39:25 PM
374,07/20,7/20/2020 8:39:27 PM,1,7,2.154377,No,7/20/2020 1:39:27 PM
374,07/20,7/20/2020 8:39:29 PM,1,8,2.149238,No,7/20/2020 1:39:29 PM
374,07/20,7/20/2020 8:39:31 PM,1,9,2.19939,No,7/20/2020 1:39:31 PM
374,07/20,7/20/2020 8:39:34 PM,1,10,2.279548,No,7/20/2020 1:39:34 PM
374,07/20,7/20/2020 8:39:43 PM,2,1,0.792578,No,7/20/2020 1:39:43 PM
374,07/20,7/20/2020 8:39:45 PM,2,2,3.117664,No,7/20/2020 1:39:45 PM
374,07/20,7/20/2020 8:39:47 PM,2,3,3.142971,No,7/20/2020 1:39:47 PM
374,07/20,7/20/2020 8:39:49 PM,2,4,3.175081,No,7/20/2020 1:39:49 PM
374,07/20,7/20/2020 8:39:51 PM,2,5,3.190567,No,7/20/2020 1:39:51 PM
